left_id,left_label,right_id,right_label
100175,425079,100175,425079
100182,16289,100182,16289
100219,248,100219,248
100389,252880,100389,252880
100432,337842,100432,337842
100474,530,100474,530
100524,407264,100524,407264
100554,178114,100554,178114
100564,629,100564,629
100745,243545,100745,243545
100805,896,100805,896
100822,254913,100822,254913
100839,932,100839,932
101089,315332,101089,315332
10113,1256,10113,1256
101193,280234,101193,280234
101204,202695,101204,202695
101292,62060,101292,62060
101296,1439,101296,1439
101322,1469,101322,1469
101522,262199,101522,262199
101651,1833,101651,1833
101653,299197,101653,299197
101768,1962,101768,1962
10185,162346,10185,162346
101884,2091,101884,2091
102027,2251,102027,2251
102086,2316,102086,2316
102179,322678,102179,322678
102215,2460,102215,2460
102359,2619,102359,2619
102366,2627,102366,2627
102487,2761,102487,2761
102491,2766,102491,2766
102496,195501,102496,195501
102629,2919,102629,2919
102719,3777,102719,3777
102757,422156,102757,422156
1028,3107,1028,3107
10282,3130,10282,3130
102861,210278,102861,210278
102870,3185,102870,3185
102882,3198,102882,3198
102996,3324,102996,3324
103029,3362,103029,3362
103038,3372,103038,3372
103194,393348,103194,393348
103262,283430,103262,283430
103292,3653,103292,3653
103336,232496,103336,232496
103380,3751,103380,3751
103403,3777,103403,3777
103724,4133,103724,4133
10385,4272,10385,4272
10390,387108,10390,387108
103935,530,103935,530
104090,4539,104090,4539
104114,4566,104114,4566
104168,4625,104168,4625
104315,4789,104315,4789
104385,198998,104385,198998
10441,4894,10441,4894
104415,4900,104415,4900
104461,66267,104461,66267
104607,5113,104607,5113
104624,5132,104624,5132
104644,5154,104644,5154
104706,381970,104706,381970
104710,316518,104710,316518
104755,5275,104755,5275
104756,129119,104756,129119
104851,5382,104851,5382
104942,5483,104942,5483
104969,10912,104969,10912
105015,97179,105015,97179
105020,5570,105020,5570
105083,5639,105083,5639
105244,5818,105244,5818
105253,5828,105253,5828
105339,5923,105339,5923
105367,5954,105367,5954
105381,292580,105381,292580
105540,328928,105540,328928
105814,6451,105814,6451
105904,137010,105904,137010
105942,389536,105942,389536
105976,6629,105976,6629
105992,6647,105992,6647
106013,6672,106013,6672
106161,305978,106161,305978
10621,6890,10621,6890
106322,297610,106322,297610
106352,7048,106352,7048
106508,7221,106508,7221
106576,231997,106576,231997
106596,199443,106596,199443
106615,7339,106615,7339
106681,7412,106681,7412
106794,224206,106794,224206
106806,7551,106806,7551
106881,432236,106881,432236
106990,7754,106990,7754
107055,7551,107055,7551
107137,7917,107137,7917
107174,7958,107174,7958
107281,8077,107281,8077
107302,399747,107302,399747
