author	volume	title	institution	venue	address	publisher	year	pages	editor	note	month	class
p. auer, n. cesabianchi, y. freund, and r. e. schapire,		gambling in a rigged casino the adversarial multiarmed bandit problem,		in proc. 36th annual symposium on foundations of computer science,	los alamitos, ca	ieee computer society press,	1995,	pp. 322331.				auer1995a
a. blum, m. furst, m. j. kearns, and richard j. lipton.		cryptographic primitives based on hard learning problems.		in preproceedings of crypto 93,			1993.	pages 24.124.10,				blum1993
avrim blum, merrick furst, michael kearns, and richard j. lipton.		cryptographic primitives based on hard learning problems.		in preproceedings of crypto 93,			1993.	pages 24.124.10,				blum1993
avrim blum, merrick furst, michael kearns, and richard j. lipton.		cryptographic primitives based on hard learning problems.		proc. crypto 93,		springer,	1994.	pages 278291.	in douglas r. stinson, editor,	lecture notes in computer science no. 773.		blum1993
a. blum, m. furst, m. kearns, r. lipton.		cryptographic primitives based on hard learning problems.		crypto,			1993.					blum1993
blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.		weakly learning dnf and characterizing statistical query learning using fourier analysis.		proceedings of the 26th annual acm symposium on theory of computing,			1994.	pp. 253262.				blum1994
blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.		weakly learning dnf and characterizing statistical query learning using fourier analysis.		in proceedings of the twentysixth annual acm symposium on theory of computing,	montreal, canada.	acm press.	1994.	pp. 253262,				blum1994
blum a., furst m., jackson j., kearns m., mansour y., and rudich s.		weakly learning dnf 10 and characterizing statistical query learning using fourier analysis.		in proc. 26th annu. acm sympos. theory comput.	new york, ny,	acm press,	1994.					blum1994
a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.		weakly learning dnf and characterizing statistical query learning using fourier analysis.		in proceedings of the 26th acm symposium on the theory of computing.	new york, ny,	acm press,	1994.					blum1994
avrim blum, merrick furst, jeffrey jackson, michael kearns, yishay mansour, and steven rudich.		weakly learning dnf and characterizing statistical query learning using fourier analysis.		in t he 26 th annual acm symposium on t heory of computing,			1994.	pages 253  262,				blum1994
avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.		weakly 8 learning dnf and characterizing statistical query learning using fourier analysis.		in proceedings of the 26 th annual acm symposium on the theory of computing,			1994.				may	blum1994
avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.		weakly learning dnf and characterizing statistical query learning using fourier analysis.		in proceedings of the 26 th annual acm symposium on the theory of computing,			1994.				may	blum1994
avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.		weakly learning dnf and characterizing statistical query learning using fourier analysis.		in proceedings of the twentysixth annual acm symposium on the theory of computing,			1994.			to appear.		blum1994
a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.		weakly learning dnf and characterizing statistical query learning using fourier analysis.		in proceedings of twentysixth acm symposium on theory of computing,			1994.					blum1994
blum, a., m. furst, j. jackson, m. kearns, y. mansour and s. rudich,		weakly learning dnf and characterizing statistical query learning using fourier analysis,		proceedings of the 26th annual acm symposium on theory of computing,			1994.	pp. 25362,				blum1994
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,			may	cesa
n. cesabianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.		how to use expert advice.		in annual acm symposium on theory of computing,			1993.	pages 382391,				cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,			may	cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,		to appear, journal of the association for computing machinery.		cesa
n. cesabianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,		morgan kaufmann,	1993.	pages 382391.		to appear in journal of the association for computing machinery.		cesa
cesabianchi, n., freund, y., helmbold, d. p., haussler, d., schapire, r. e., & warmuth, m. k.		how to use expert advice.		proceedings of the annual acm symposium on the theory of computing pp.			1993.	382391.				cesa
cesabianchi, n., freund, y., helmbold, d., & haussler, d.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pp. 382391.		morgan kaufmann. to appear in journal of the association for computing machinery, schapire and warmuth also on this article but too long.		cesa
cesabianchi, n., freund, y., helmbold, d., haussler, d., schapire, r., and warmuth, m.		how to use expert advice.		in proceedings of the annual acm symp. on the theory of computing,			1993.	pages 382391.				cesa
cesabianchi, n., y. freund, d. p. helmbold, d. haussler, and r. e. schapire a nd m. k. warmuth.		how to use expert advice.			pages 382391.		1995.					cesa
n. cesabianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, m. k. warmuth.		how to use expert advice.		proceedings of the 24th annual acm symposium on theory of computing stoc.			1993.					cesa
n. cesabianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, m. k. warmuth.		how to use expert advice.		proceedings of the 24th annual acm symposium on theory of computing stoc.			1993.					cesa
n. cesabianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, and m. k. warmuth.		how to use expert advice.		in proceedings of the 25th annual acm symposium on the theory of computing,			1993.	pages 382391,				cesa
n. cesabianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.		how to use expert advice.		in acm symp. on the theory of computing,			1995.	pages 382391,				cesa
n. cesabianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.		how to use expert advice.		in annual acm symposium on theory of computing,			1993.	pages 382391,				cesa
n. cesabianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.		how to use expert advice.		in annual acm symposium on theory of computing,			1993.	pages 382391.				cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,		submitted to the journal of the acm.	may	cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,		submitted to the journal of the acm.	may	cesa
n. cesabianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.		how to use expert advice.		in proceedings of the twenty fifth annual acm symposium on theory of computing,	san diego, ca, may 1993.	acm press.		pages 382391,				cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,		to appear, journal of the association for computing machinery.		cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,				cesa
n. cesabianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m.		war muth. how to use expert advice.		in proceedings of the eighteenth annual acm symposium on theory of computing,	san diego, ca,		1993.	pages 382391,			may	cesa
n. cesabianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.		how to use expert advice.		in proc. 25th annu. acm sympos. theory comput.,	new york, ny,	acm press,	1993.	pages 382391.				cesa
n. cesabianchi, y. freund, d.h. helmbold, d. haussler, r.e. schapire, and m.k. warmuth,		how to use expert advice,		in 25th annual acm symposium on theory of computing,	san diego, ca 1993.			382392,				cesa
n. cesabianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.		how to use expert advice.		proceedings of the 25th acm symposium on the theory of computation,			1993.					cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,				cesa
n. cesabianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,		to appear, journal of the association for computing machinery.		cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,				cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,		to appear, journal of the association for computing machinery.		cesa
n. cesabianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.		how to use expert advice.		proceedings of the 25th acm symposium on the theory of computation,			1993.					cesa
n. cesabianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.		how to use expert advice.		in proceedings of the eighteenth annual acm symposium on theory of computing,	san diego, ca,		1993.	pages 382391,			may	cesa
n. cesabianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.		how to use expert advice.		in proceedings of the eighteenth annual acm symposium on theory of computing,	san diego, ca,		1993.	pages 382391,			may	cesa
n. cesabianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.		how to use expert advice.		in proc. 25th symposium on the theory of computing,	new york, ny,	acm press,	1993.	pages 382391.				cesa
