org.cud2v.graphcluster.cluster;id;author;volume;title;institution;venue;address;publisher;year;pages;editor;note;month;class
0;18461;" M Ahlskog J Paloheimo H Stubb P Dyreklev M Fahlman O ";" 76 ";" Inganas and MR ";;;;;1994;893;;;;"ahlskog1994a  "
0;18464;" M Ahlskog J Paloheimo H Stubb P Dyreklev M Fahlman O Inganas and MR Andersson";" 76 ";;;;;;1994;"893 ";;;;"ahlskog1994a  "
0;18465;" M Ahlskog J Paloheimo H Stubb P Dyreklev M Fahlman O </au Inganas and MR Andersson";" 76 ";;;;;;1994;"893 ";;;;"ahlskog1994a  "
0;18469;" C Ray Asfahl ";;" Robots and Manufacturing Automation ";;;" New York ";;1992;;;" second edition ";;"asfahl1992a  "
0;18470;" Steve Benford and Lennart E Fahlen ";;" A spatial model of interaction in large virtual environments ";;" In Proceedings of ECSCW93 ";" Milan ";;" 1993 ";;;;" September ";"benford1993a  "
0;18471;" Benford S and Fahln L ";;" Viewpoints Actionpoints and Spatial Frames for Collaborative User Interfaces ";;" 6th ERCIM workshop ";"Stockholm ";;" June 1994 ";;;;" 1994 ";"benford1994a "
0;18472;" Benford S Bowers J Fahln L Greenhalgh C and Snowdon D ";;" User Embodiment in Collaborative Virtual Environments ";;" in Proc ACM Conference on Human Factors in Computing Systems CHI95 ";" Denver Colorado USA ";;May;;;;;"benford1995a "
0;18473;" Benford S Bowers J Fahlen LE Greenhalgh C Snowdon D ";;" User Embodiment in Collaborative Virtual Environments ";;" In Proceedings of CHI95 ";;;1995;" 242249 ";;;;"benford1995a "
0;18474;" Benford S Bowers J Fahlen LE Greenhalgh C Snowdon D ";" 242 249 ";" User Embodiment in Collaborative Virtual Environments ";;" In Proceedings of CHI95 ";;;;;;;;"benford1995a  "
0;18475;" Steve Benford John Bowers Lennart Fahlen Chris Greenhalg John Mariani and Tom Rodden ";" 44 ";" Networked Virtual realitty and Cooperative Work ";;;;;1995;" 364386 ";;;;"benford1995b  "
0;18476;" Brown D F Moura H & Watt D A ";;" Actress an action semantics directed compiler generator ";;;" Paderborn Germany ";;1992b;" pp 95109 ";" in U Kastens & P Pfahler eds ";"Vol 641 of Lecture Notes in Computer Science ";;"brown1992a "
0;18477;" Brown D F Moura H & Watt D A ";;" Actress an action semantics directed compiler generator ";;" `Proceedings of the International Workshop on Compiler Construction CC92 ";" Paderborn Germany ";;1992b;" pp 95109 ";" in U Kastens & P Pfahler eds ";"Vol 641 of Lecture Notes in Computer Science ";;"brown1992a "
0;18478;" D F Brown H Moura and D A Watt Actress ";;" an action semantics directed compiler generator ";;" Proceedings of the 4th International Conference on Compiler Construction CC92 ";" Paderborn FRG ";;1992;" pages 95109 ";" In U Kastens and P Pfahler editors ";"volume 641 of Lecture Notes in Computer Science ";October;"brown1992a  "
0;18479;" B Buth KH Buth M Franzle B v Karger Y Lakhneche H Langmaack and M MullerOlm ";;" Provably correct compiler development and implementation ";;" Compiler Construction ";;;1992;;" In U Kastens and P Pfahler editors ";"volume 641 of Lecture Notes in Computer Science ";;"buth1992a 5 "
0;18482;" B Buth et al ";;" Provably Correct Compiler Implementation ";;" Compiler Construction ";;;1992;" pp 141155 ";" in U Karstens and P Pfahler eds ";;;"buth1992a 6 "
0;18483;" Bettina Buth KarlHeinz Buth Martin Franzle Burghard von Karger Yassine Lakhneche Hans Langmaack and Markus MullerOlm ";;" Provably correct compiler development and implementation ";;" Compiler Construction number 641 in Lecture Notes in Computer Science ";;;1992;" pages 141155 ";" In U Kastens and P Pfahler editors ";;;"buth1992a  "
